collection,slug,title,country,region,city,address,lat,lon,listing_url,query,needs,address_missing,address_incomplete,coords_missing,source_path
stores,homegrown-wholefoods-paraparaumu,Homegrown Wholefoods,NZ,Wellington,Paraparaumu,,,,/stores/homegrown-wholefoods-paraparaumu/,"Homegrown Wholefoods, Paraparaumu, Wellington, NZ",missing_address,true,false,true,_stores/homegrown-wholefoods-paraparaumu.md
stores,organic-corner-deli-whangarei,Organic Corner Deli,NZ,Northland,Whangārei,,,,/stores/organic-corner-deli-whangarei/,"Organic Corner Deli, Whangārei, Northland, NZ",missing_address,true,false,true,_stores/organic-corner-deli-whangarei.md
stores,honest-wholefoods-invercargill,Honest Wholefoods,NZ,Southland,Invercargill,,,,/stores/honest-wholefoods-invercargill/,"Honest Wholefoods, Invercargill, Southland, NZ",missing_address,true,false,true,_stores/honest-wholefoods-invercargill.md
stores,store-slug,Store or co-op name,Country name,Region or state,City or town,,,,/stores/store-slug/,"Store or co-op name, City or town, Region or state, Country name",missing_address,true,false,true,_stores/_template.md
stores,earth-food-store-waikanae,Earth Food Store,NZ,Wellington,Waikanae,,,,/stores/earth-food-store-waikanae/,"Earth Food Store, Waikanae, Wellington, NZ",missing_address,true,false,true,_stores/earth-food-store-waikanae.md
stores,ecohive-collective-paihia,The Ecohive Collective (Paihia),New Zealand,Northland,Paihia,,,,/stores/ecohive-collective-paihia/,"The Ecohive Collective (Paihia), Paihia, Northland, New Zealand",missing_address,true,false,true,_stores/ecohive-collective-paihia.md
stores,city-honest-grocer,City Honest Grocer,New Zealand,Auckland,Grey Lynn,,-36.86,174.739,/stores/city-honest-grocer/,"City Honest Grocer, Grey Lynn, Auckland, New Zealand",missing_address,true,false,false,_stores/city-honest-grocer.md
stores,santos-organics,Santos Organics,Australia,,,,,,/stores/santos-organics/,"Santos Organics, Australia",missing_address,true,false,true,_stores/santos-organics.md
stores,picton-organic-store,Picton Organic Store,NZ,Marlborough,Picton,,,,/stores/picton-organic-store/,"Picton Organic Store, Picton, Marlborough, NZ",missing_address,true,false,true,_stores/picton-organic-store.md
stores,she-universe-cacao-pod,She Universe Cacao Pod,New Zealand,Canterbury,Christchurch,,,,/stores/she-universe-cacao-pod/,"She Universe Cacao Pod, Christchurch, Canterbury, New Zealand",missing_address,true,false,true,_stores/she-universe-cacao-pod.md
stores,earthbound-organics-richmond,Earthbound Organics (Richmond),NZ,Tasman,Richmond,,,,/stores/earthbound-organics-richmond/,"Earthbound Organics (Richmond), Richmond, Tasman, NZ",missing_address,true,false,true,_stores/earthbound-organics-richmond.md
stores,bohemian-bakery,Bohemian Bakery,New Zealand,,,,,,/stores/bohemian-bakery/,"Bohemian Bakery, New Zealand",missing_address,true,false,true,_stores/bohemian-bakery.md
stores,harris-farm-markets,Harris Farm Markets,Australia,,,,,,/stores/harris-farm-markets/,"Harris Farm Markets, Australia",missing_address,true,false,true,_stores/harris-farm-markets.md
stores,mapua-organics,Mapua Organics,NZ,Tasman,Mapua,,,,/stores/mapua-organics/,"Mapua Organics, Mapua, Tasman, NZ",missing_address,true,false,true,_stores/mapua-organics.md
stores,wholefood-co-op-hokitika,Wholefood Co-op Hokitika,NZ,West Coast,Hokitika,,,,/stores/wholefood-co-op-hokitika/,"Wholefood Co-op Hokitika, Hokitika, West Coast, NZ",missing_address,true,false,true,_stores/wholefood-co-op-hokitika.md
stores,ooooby-online-organic-boxes,Ooooby (Online Organic Boxes),NZ,Canterbury,Christchurch,N/A (HQ: 5 Waterman Place),,,/stores/ooooby-online-organic-boxes/,"Ooooby (Online Organic Boxes), Christchurch, Canterbury, NZ",missing_address,true,false,true,_stores/ooooby-online-organic-boxes.md
stores,soulfood-organic-wanaka,Soulfood Organic,NZ,Otago,Wānaka,,,,/stores/soulfood-organic-wanaka/,"Soulfood Organic, Wānaka, Otago, NZ",missing_address,true,false,true,_stores/soulfood-organic-wanaka.md
vendors,the-wholemeal-cafe,The Wholemeal Café,NZ,Tasman,Tākaka,,,,/vendors/the-wholemeal-cafe/,"The Wholemeal Café, Tākaka, Tasman, NZ",missing_address,true,false,true,_vendors/the-wholemeal-cafe.md
vendors,origin-northland,Origin Northland,NZ,Northland,Waipu,,,,/vendors/origin-northland/,"Origin Northland, Waipu, Northland, NZ",missing_address,true,false,true,_vendors/origin-northland.md
vendors,mapu-test-kitchen,MAPU Test Kitchen,NZ,Canterbury,Lyttelton,,,,/vendors/mapu-test-kitchen/,"MAPU Test Kitchen, Lyttelton, Canterbury, NZ",missing_address,true,false,true,_vendors/mapu-test-kitchen.md
vendors,daily-bread-pt-chevalier,Daily Bread,NZ,Auckland,Auckland,,,,/vendors/daily-bread-pt-chevalier/,"Daily Bread, Auckland, Auckland, NZ",missing_address,true,false,true,_vendors/daily-bread-pt-chevalier.md
vendors,the-falls-retreat,The Falls Retreat,NZ,Waikato,Waihi,,,,/vendors/the-falls-retreat/,"The Falls Retreat, Waihi, Waikato, NZ",missing_address,true,false,true,_vendors/the-falls-retreat.md
vendors,hillside-kitchen-cellar,Hillside Kitchen & Cellar,NZ,Wellington,Wellington,,,,/vendors/hillside-kitchen-cellar/,"Hillside Kitchen & Cellar, Wellington, Wellington, NZ",missing_address,true,false,true,_vendors/hillside-kitchen-cellar.md
vendors,farm-house-cafe,Farm House Café,NZ,Auckland,Clevedon,,,,/vendors/farm-house-cafe/,"Farm House Café, Clevedon, Auckland, NZ",missing_address,true,false,true,_vendors/farm-house-cafe.md
vendors,st-georges-restaurant,St Georges Restaurant,NZ,Hawke's Bay,Havelock North,,,,/vendors/st-georges-restaurant/,"St Georges Restaurant, Havelock North, Hawke's Bay, NZ",missing_address,true,false,true,_vendors/st-georges-restaurant.md
vendors,foraged-in-raglan,Foraged In Raglan,NZ,Waikato,Raglan,,,,/vendors/foraged-in-raglan/,"Foraged In Raglan, Raglan, Waikato, NZ",missing_address,true,false,true,_vendors/foraged-in-raglan.md
vendors,hill-house-cafe,Hill House Café,NZ,Auckland,Auckland,,,,/vendors/hill-house-cafe/,"Hill House Café, Auckland, Auckland, NZ",missing_address,true,false,true,_vendors/hill-house-cafe.md
vendors,volcanoview-restaurant-bar,Volcanoview Restaurant & Bar,NZ,Taranaki,New Plymouth,,,,/vendors/volcanoview-restaurant-bar/,"Volcanoview Restaurant & Bar, New Plymouth, Taranaki, NZ",missing_address,true,false,true,_vendors/volcanoview-restaurant-bar.md
vendors,wildflour-whangarei,Wildflour NZ (Whangārei),NZ,Northland,Whangārei,,,,/vendors/wildflour-whangarei/,"Wildflour NZ (Whangārei), Whangārei, Northland, NZ",missing_address,true,false,true,_vendors/wildflour-whangarei.md
vendors,cafe-irresistiblue,Café Irresistiblue,NZ,Waikato,Cambridge,,,,/vendors/cafe-irresistiblue/,"Café Irresistiblue, Cambridge, Waikato, NZ",missing_address,true,false,true,_vendors/cafe-irresistiblue.md
vendors,shepherd,Shepherd,NZ,Wellington,Wellington,,,,/vendors/shepherd/,"Shepherd, Wellington, Wellington, NZ",missing_address,true,false,true,_vendors/shepherd.md
vendors,harvest-to-home,Harvest to Home,New Zealand,Auckland,Auckland,,,,/vendors/harvest-to-home/,"Harvest to Home, Auckland, Auckland, New Zealand",missing_address,true,false,true,_vendors/harvest-to-home.md
vendors,grizzly-baked-goods,Grizzly Baked Goods,NZ,Canterbury,Christchurch,,,,/vendors/grizzly-baked-goods/,"Grizzly Baked Goods, Christchurch, Canterbury, NZ",missing_address,true,false,true,_vendors/grizzly-baked-goods.md
vendors,zephyr-wainui,Zephyr Wainui,NZ,Gisborne,Gisborne,,,,/vendors/zephyr-wainui/,"Zephyr Wainui, Gisborne, Gisborne, NZ",missing_address,true,false,true,_vendors/zephyr-wainui.md
vendors,oatery-wellington,The Oatery,NZ,Wellington,Wellington,,,,/vendors/oatery-wellington/,"The Oatery, Wellington, Wellington, NZ",missing_address,true,false,true,_vendors/oatery-wellington.md
vendors,honest-wholefood-co-wanaka,Honest Wholefood Co.,NZ,Otago,Wānaka,,,,/vendors/honest-wholefood-co-wanaka/,"Honest Wholefood Co., Wānaka, Otago, NZ",missing_address,true,false,true,_vendors/honest-wholefood-co-wanaka.md
vendors,orepuki-beach-cafe,Orepuki Beach Café,NZ,Southland,Orepuki,,,,/vendors/orepuki-beach-cafe/,"Orepuki Beach Café, Orepuki, Southland, NZ",missing_address,true,false,true,_vendors/orepuki-beach-cafe.md
vendors,flagship-eatery,Flagship Eatery,NZ,Gisborne,Gisborne,,,,/vendors/flagship-eatery/,"Flagship Eatery, Gisborne, Gisborne, NZ",missing_address,true,false,true,_vendors/flagship-eatery.md
vendors,power-plant-wholefood-organic-store,Power Plant Wholefood & Organic Store,NZ,Northland,Whangārei,,,,/vendors/power-plant-wholefood-organic-store/,"Power Plant Wholefood & Organic Store, Whangārei, Northland, NZ",missing_address,true,false,true,_vendors/power-plant-wholefood-organic-store.md
vendors,no7-balmac,No.7 Balmac,NZ,Otago,Dunedin,,,,/vendors/no7-balmac/,"No.7 Balmac, Dunedin, Otago, NZ",missing_address,true,false,true,_vendors/no7-balmac.md
