collection,slug,title,country,region,city,address,lat,lon,listing_url,notes
stores,bin-inn-gisborne,Bin Inn Gisborne,NZ,Gisborne,Gisborne,61 Peel Street,,,/stores/bin-inn-gisborne/,Coordinates missing — address can be used for lookup
stores,bin-inn-glenfield,Bin Inn Glenfield,NZ,Auckland,Auckland,"Glenfield Mall, Downing St (Shop 209, L2)",,,/stores/bin-inn-glenfield/,Coordinates missing — address can be used for lookup
stores,bin-inn-hamilton-east,Bin Inn Hamilton East,NZ,Waikato,Hamilton,568 Grey Street,,,/stores/bin-inn-hamilton-east/,Coordinates missing — address can be used for lookup
stores,bin-inn-hastings-taradale,Bin Inn Hastings Taradale,NZ,Hawke's Bay,Napier,370 Gloucester Street,,,/stores/bin-inn-hastings-taradale/,Coordinates missing — address can be used for lookup
stores,bin-inn-howick,Bin Inn Howick,NZ,Auckland,Auckland,219 Moore Street,,,/stores/bin-inn-howick/,Coordinates missing — address can be used for lookup
stores,bin-inn-kamo,Bin Inn Kamo,NZ,Northland,Whangārei,386 Kamo Road,,-35.6709,/stores/bin-inn-kamo/,Coordinates missing — address can be used for lookup
stores,bin-inn-kapiti-paraparaumu,Bin Inn Kapiti Paraparaumu,NZ,Wellington,Kapiti Coast,3 Ihakara Street,,,/stores/bin-inn-kapiti-paraparaumu/,Coordinates missing — address can be used for lookup
stores,bin-inn-lincoln-rd-chch,Bin Inn Lincoln Rd Chch,NZ,Canterbury,Christchurch,15 Lincoln Road,,,/stores/bin-inn-lincoln-rd-chch/,Coordinates missing — address can be used for lookup
stores,bin-inn-masterton,Bin Inn Masterton,NZ,Wellington,Masterton,146 Dixon Street,,,/stores/bin-inn-masterton/,Coordinates missing — address can be used for lookup
stores,bin-inn-nelson,Bin Inn Nelson,NZ,Nelson,Nelson,25 Vanguard Street,,,/stores/bin-inn-nelson/,Coordinates missing — address can be used for lookup
stores,bin-inn-onehunga,Bin Inn Onehunga,NZ,Auckland,Auckland,180 Onehunga Mall,,,/stores/bin-inn-onehunga/,Coordinates missing — address can be used for lookup
stores,bin-inn-palmerston-north,Bin Inn Palmerston North,NZ,Manawatū-Whanganui,Palmerston North,313 Church Street,,,/stores/bin-inn-palmerston-north/,Coordinates missing — address can be used for lookup
stores,bin-inn-papamoa,Bin Inn Papamoa,NZ,Bay of Plenty,Tauranga,"60 Gravatt Road, Fashion Island",,,/stores/bin-inn-papamoa/,Coordinates missing — address can be used for lookup
stores,bin-inn-petone,Bin Inn Petone,NZ,Wellington,Lower Hutt,8 Cambridge Terrace,,,/stores/bin-inn-petone/,Coordinates missing — address can be used for lookup
stores,bin-inn-pukekohe,Bin Inn Pukekohe,NZ,Auckland,Auckland,11 Edinburgh Street,,,/stores/bin-inn-pukekohe/,Coordinates missing — address can be used for lookup
stores,bin-inn-rangiora,Bin Inn Rangiora,NZ,Canterbury,Waimakariri,9 High Street,,,/stores/bin-inn-rangiora/,Coordinates missing — address can be used for lookup
stores,bin-inn-richmond,Bin Inn Richmond,New Zealand,Tasman,Richmond,"271 Queen Street, Richmond 7020",,,/stores/bin-inn-richmond/,Coordinates missing — address can be used for lookup
stores,bin-inn-rolleston,Bin Inn Rolleston,NZ,Canterbury,Selwyn,92 Rolleston Drive,,,/stores/bin-inn-rolleston/,Coordinates missing — address can be used for lookup
stores,bin-inn-rotorua,Bin Inn Rotorua,NZ,Bay of Plenty,Rotorua,21 Old Taupo Road,,,/stores/bin-inn-rotorua/,Coordinates missing — address can be used for lookup
stores,bin-inn-silverdale,Bin Inn Silverdale,NZ,Auckland,Auckland,20 Silverdale Street,,,/stores/bin-inn-silverdale/,Coordinates missing — address can be used for lookup
stores,bin-inn-st-andrews,Bin Inn St Andrews,NZ,Waikato,Hamilton,84 Sandwich Road,,,/stores/bin-inn-st-andrews/,Coordinates missing — address can be used for lookup
stores,bin-inn-stanmore-rd-chch,Bin Inn Stanmore Rd Chch,NZ,Canterbury,Christchurch,104 Stanmore Road,,,/stores/bin-inn-stanmore-rd-chch/,Coordinates missing — address can be used for lookup
stores,bin-inn-stonefields,Bin Inn Stonefields,NZ,Auckland,Auckland,30 Stonefields Ave,,,/stores/bin-inn-stonefields/,Coordinates missing — address can be used for lookup
stores,bin-inn-takanini,Bin Inn Takanini,NZ,Auckland,Auckland,230 Great South Road,,,/stores/bin-inn-takanini/,Coordinates missing — address can be used for lookup
stores,bin-inn-taupo,Bin Inn Taupo,NZ,Waikato,Taupō,83 Tongariro Street,,,/stores/bin-inn-taupo/,Coordinates missing — address can be used for lookup
stores,bin-inn-te-awamutu,Bin Inn Te Awamutu,NZ,Waikato,Waipa,43 Mutu Street,,,/stores/bin-inn-te-awamutu/,Coordinates missing — address can be used for lookup
stores,bin-inn-thames,Bin Inn Thames,NZ,Coromandel,Thames-Coromandel,426 Pollen Street,,,/stores/bin-inn-thames/,Coordinates missing — address can be used for lookup
stores,bin-inn-timaru,Bin Inn Timaru,NZ,Canterbury,Timaru,9 Theodosia Street,,,/stores/bin-inn-timaru/,Coordinates missing — address can be used for lookup
stores,bin-inn-warkworth,Bin Inn Warkworth,NZ,Auckland,Auckland,3 Queen Street,,,/stores/bin-inn-warkworth/,Coordinates missing — address can be used for lookup
stores,bin-inn-whakatane,Bin Inn Whakatane,NZ,Bay of Plenty,Whakatane,252 The Strand,,,/stores/bin-inn-whakatane/,Coordinates missing — address can be used for lookup
stores,bin-inn-whangarei,Bin Inn Whangarei,NZ,Northland,Whangārei,75 Walton Street,,,/stores/bin-inn-whangarei/,Coordinates missing — address can be used for lookup
stores,bliss-box,Bliss Box,New Zealand,Auckland,Auckland,"13B Ride Way, Rosedale, Auckland 0632, New Zealand",,,/stores/bliss-box/,Coordinates missing — address can be used for lookup
stores,bohemian-bakery-cashel-street-hq,Bohemian Bakery (Cashel Street HQ),New Zealand,Canterbury,Christchurch,"372 Cashel Street, Christchurch 8011",,,/stores/bohemian-bakery-cashel-street-hq/,Coordinates missing — address can be used for lookup
