collection,slug,title,country,region,city,address,listing_url
stores,she-universe-riverside-chocolaterie,She Universe Riverside Chocolaterie,New Zealand,Canterbury,Christchurch,"Riverside Market Lane, 84 Cashel Street, Christchurch Central",/stores/she-universe-riverside-chocolaterie/
stores,freshchoice-nelson-city,FreshChoice Nelson City,New Zealand,Tasman,Nelson,"69 Collingwood Street, Nelson City, Tasman 7010, New Zealand",/stores/freshchoice-nelson-city/
stores,bin-inn-glenfield,Bin Inn Glenfield,NZ,Auckland,Auckland,"Glenfield Mall, Downing St (Shop 209, L2)",/stores/bin-inn-glenfield/
vendors,steampunk-coffee,Steampunk Coffee,New Zealand,Taranaki,Hāwera,"Bunnings Hawera Car Park, Hāwera",/vendors/steampunk-coffee/
vendors,urban-flair,Urban Flair,New Zealand,Auckland,Auckland,Auckland (mobile food truck),/vendors/urban-flair/
vendors,moss-coffee-van,Moss Coffee Van,New Zealand,Auckland,Auckland,Auckland (mobile),/vendors/moss-coffee-van/
vendors,wipeout-kitchen,Wipeout Kitchen,New Zealand,Auckland,Auckland,Auckland (mobile food truck),/vendors/wipeout-kitchen/
vendors,oh-acai,Oh Açaí,New Zealand,Auckland,Auckland,"Britomart Market, Auckland",/vendors/oh-acai/
vendors,sunshine-gelato,Sunshine Gelato,New Zealand,Auckland,Hobsonville,"Catalina Bay Farmers Market, Hobsonville Point, Auckland",/vendors/sunshine-gelato/
vendors,brotisserie,Brotisserie,New Zealand,Auckland,Remuera,"81 Greenlane East, Remuera, Auckland 1050",/vendors/brotisserie/
vendors,bhanga-coffee-cart,Bhanga Coffee Cart,New Zealand,Bay of Plenty,Te Kaha,"Maraetai Schoolhouse Bay, Te Kaha 3199",/vendors/bhanga-coffee-cart/
vendors,charlie-grace-mobile-cafe,Charlie Grace Mobile Café,New Zealand,Auckland,Whitford,"Whitford, Auckland",/vendors/charlie-grace-mobile-cafe/
vendors,the-waiheke-bean,The Waiheke Bean,New Zealand,Auckland,Ostend,"20 Tahi Road, Ostend, Waiheke Island 1081",/vendors/the-waiheke-bean/
vendors,georgies-coffee-cart,Georgies Coffee Cart,New Zealand,Waikato,Ngāruawāhia,"14 Rangawhenua Street, Ngāruawāhia 3720",/vendors/georgies-coffee-cart/
vendors,the-dukes-of-sandwich,The Dukes of Sandwich,New Zealand,Canterbury,Christchurch,"The Commons, corner of Kilmore & Durham Streets, Christchurch 8013",/vendors/the-dukes-of-sandwich/
vendors,yolanda-and-wolfe-coffee-caravan,Yolanda and Wolfe Coffee Caravan,New Zealand,Auckland,Hobsonville,"Unit 5, 3 Workspace Drive, Hobsonville, Auckland",/vendors/yolanda-and-wolfe-coffee-caravan/
vendors,salty-swamis,Salty Swamis,New Zealand,Tasman,Marahau,"14 Harvey Road, Marahau",/vendors/salty-swamis/
vendors,purple-vibes,Purple Vibes,New Zealand,Auckland,Auckland,Auckland (mobile),/vendors/purple-vibes/
vendors,sherwood-queenstown,Sherwood Queenstown,NZ,Otago,Queenstown,"554–558 Frankton Road, Queenstown 9300, New Zealand",/vendors/sherwood-queenstown/
vendors,she-universe-chocolate,She Universe Chocolate,NZ,Canterbury,Christchurch,"Riverside Market Lane, 84 Cashel Street, Christchurch Central",/vendors/she-universe-chocolate/
vendors,the-tinman,The Tinman,New Zealand,Auckland,Auckland,Auckland (mobile),/vendors/the-tinman/
vendors,sandfire-seedlings-hawkes-bay,Sandfire Seedlings,NZ,Hawke's Bay,,Hawke's Bay Farmers' Market,/vendors/sandfire-seedlings-hawkes-bay/
vendors,coffee-la-la,Coffee La La,New Zealand,Waikato,Whitianga,"462 Kuaotunu Wharekaho Road RD 2, Whitianga 3592",/vendors/coffee-la-la/
vendors,dutchys,Dutchy's,New Zealand,Manawatū-Whanganui,Levin,"Levin and Ōtaki area, Lower North Island",/vendors/dutchys/
